overall,price,name,power,control,rebound,omgang,sweetspot
88,150,Adipower CTRL 3.2,87,100,75,86,91
88,195,Adipower Multiweight CTRL 3.3,86,92,84,86,90
88,,Metalbone 3.4 HRD+,100,97,81,81,81
88,190,Ignis,92,89,86,87,84
88,150,Technical Viper,100,91,87,74,86
88,159,Vertex 04,91,91,84,81,91
88,239,XPLO 2025 Di Nenno,97,90,81,81,89
88,170,Speed Pro X,91,96,83,82,86
88,170,Kenta Pro,81,95,82,91,89
88,228,King Cobra Black 1K,95,85,95,81,82
87,122,Adipower 3.2,96,90,87,80,81
87,,Adipower 3.2,95,90,86,81,81
87,265,Adipower Multiweight CTRL,84,91,85,84,90
87,,Adipower Multiweight CTRL 3.4 2025 - Alex Ruiz,85,90,85,85,88
87,159,Cross It,97,88,82,86,80
87,,Cross It 3.4,97,91,80,85,81
87,140,Cross It CTRL,76,90,87,91,91
87,,Cross It CTRL 3.4,76,89,87,90,91
87,190,Metalbone 3.1,87,86,100,80,80
87,190,Metalbone CTRL 3.2,81,87,95,80,90
87,178,Metalbone HRD+,100,95,80,81,81
87,240,Multiweight Master LTD,87,91,87,80,90
87,,Lux 3.0,82,87,94,86,86
87,,Tenebris,100,92,71,85,87
87,,Vento,85,89,90,85,87
87,190,Vento,86,91,89,83,84
87,,Air Viper,97,84,91,86,76
87,,Technical Viper,99,91,85,76,86
87,338,Technical Viper Juan Lebron,99,94,81,76,85
87,,Technical Viper Juan Lebron,98,96,81,73,87
87,209,Hack 03,100,94,81,79,80
87,190,Hack 03,99,96,79,79,80
87,290,Hack 03 FIP Paquito Navarro,100,94,78,81,82
87,200,Hack 03 Master Final,98,94,81,81,80
87,199,Vertex 03,90,90,91,79,84
87,160,Vertex 03,89,91,90,78,85
87,,Vertex 03 Francia Limited Edition,91,90,90,80,84
87,239,Vertex 04 2025 Juan Tello,87,89,83,87,91
87,230,Conqueror 12,92,93,82,82,87
87,340,Conqueror Attack,90,92,85,80,86
87,,Coello Pro,100,99,75,80,80
87,175,Delta Pro 2022,99,95,86,79,76
87,168,Extreme Pro,100,95,80,80,79
87,100,Graphene 360 Alpha Pro,84,91,91,84,85
87,,Speed One,87,91,76,100,79
87,329,AT.2 Genius LTD Limited Edition,92,87,73,94,91
87,169,AT10 Genius 18K,80,86,84,96,91
87,,AT10 Genius LTD,92,84,73,96,90
87,169,AT10 Luxury Genius 18K,88,86,73,96,91
87,130,AT10 Luxury Genius Arena,77,90,85,93,90
87,299,Ultimate Pro Plus,100,100,75,75,87
